"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C1R440","2019-09-23 00:00:00","1654.000","0.000","0.200","15.800","1.000","836.700","","37.000","-99.000","-99.000","-99.000","17.200","","15.000",""
"C0K560","2019-09-23 00:00:00","117.000","79.000","0.300","22.700","0.850","1001.400","","0.000","-99.000","-99.000","-99.000","31.500","","22.200",""
"C0R150","2019-09-23 00:00:00","105.000","0.000","0.000","24.900","0.990","1000.800","","0.000","-99.000","-99.000","-99.000","31.500","","23.000",""
"C0S690","2019-09-23 00:00:00","522.000","25.000","2.000","19.900","1.000","956.700","","60.500","-99.000","-99.000","-99.000","24.800","","19.900",""
"C0U870","2019-09-23 00:00:00","474.000","276.000","0.500","20.500","0.780","963.500","","0.000","-99.000","-99.000","-99.000","25.700","","20.300",""
"C0A520","2019-09-23 00:00:00","48.000","265.000","0.600","21.800","0.880","1011.000","","0.000","-99.000","-99.000","-99.000","27.000","","20.900",""
"C0V640","2019-09-23 00:00:00","35.000","37.000","1.000","25.200","0.770","1009.800","","0.000","-99.000","-99.000","-99.000","30.600","","24.200",""
"C0AH80","2019-09-23 00:00:00","68.000","0.000","0.000","20.300","0.950","1007.900","","0.000","-99.000","-99.000","-99.000","26.400","","18.800",""
"C0K250","2019-09-23 00:00:00","12.000","20.000","1.600","22.400","0.740","1013.100","","0.000","-99.000","-99.000","-99.000","31.600","","20.800",""
"C0I410","2019-09-23 00:00:00","180.000","315.000","0.400","23.000","0.820","993.300","","0.000","-99.000","-99.000","-99.000","30.600","","21.800",""
"C0M410","2019-09-23 00:00:00","245.000","353.000","2.000","21.000","0.910","982.600","","0.000","-99.000","-99.000","-99.000","30.200","","20.900",""
"C0F9Z0","2019-09-23 00:00:00","3193.000","195.000","2.300","6.300","1.000","697.700","","1.500","-99.000","-99.000","-99.000","13.000","","6.300",""
"C0G810","2019-09-23 00:00:00","26.000","356.000","1.000","24.000","0.720","1010.100","","0.000","-99.000","-99.000","-99.000","30.800","","23.900",""
"C0U650","2019-09-23 00:00:00","442.000","253.000","1.200","20.400","0.760","966.900","","0.000","-99.000","-99.000","-99.000","27.700","","20.300",""
"C0E540","2019-09-23 00:00:00","32.000","51.000","2.300","23.300","0.750","1011.700","","0.000","-99.000","-99.000","-99.000","29.400","","19.700",""
"C0W170","2019-09-23 00:00:00","42.000","41.000","3.100","24.600","0.580","1010.500","","0.000","-99.000","-99.000","-99.000","27.700","","24.500",""
"C0Z150","2019-09-23 00:00:00","27.000","227.000","2.900","22.300","0.940","1013.500","","6.500","-99.000","-99.000","-99.000","24.500","","22.000",""
"C0S840","2019-09-23 00:00:00","22.000","48.000","2.300","24.000","0.980","1014.400","","45.000","-99.000","-99.000","-99.000","26.200","","22.800",""
"C0H9A0","2019-09-23 00:00:00","1595.000","280.000","0.500","13.800","0.990","848.000","","3.500","-99.000","-99.000","-99.000","21.700","","13.800",""
"C0Z300","2019-09-23 00:00:00","182.000","26.000","0.900","21.300","0.990","996.700","","11.500","-99.000","-99.000","-99.000","23.900","","21.200",""
"C0G730","2019-09-23 00:00:00","27.000","14.000","3.800","23.700","0.680","1011.900","","0.000","-99.000","-99.000","-99.000","28.700","","22.200",""
"C0V730","2019-09-23 00:00:00","33.000","355.000","1.200","26.000","0.750","1010.600","","0.000","-99.000","-99.000","-99.000","31.700","","24.500",""
"C0SA00","2019-09-23 00:00:00","466.000","108.000","2.200","20.500","1.000","962.500","","47.500","-99.000","-99.000","-99.000","23.000","","20.500",""
"C0S900","2019-09-23 00:00:00","27.000","35.000","3.600","25.000","0.840","1012.300","","13.000","-99.000","-99.000","-99.000","26.700","","24.600",""
"C0C480","2019-09-23 00:00:00","105.000","0.000","0.000","22.400","0.830","1003.900","","0.000","-99.000","-99.000","-99.000","27.500","","20.500",""
"C0V720","2019-09-23 00:00:00","15.000","33.000","1.000","26.600","0.710","1012.100","","0.000","-99.000","-99.000","-99.000","32.000","","25.200",""
"C0UA60","2019-09-23 00:00:00","566.000","357.000","2.800","18.900","0.840","951.600","","0.000","-99.000","-99.000","-99.000","24.400","","18.400",""
"C0A980","2019-09-23 00:00:00","11.000","0.000","0.100","21.800","0.870","1015.500","","0.000","-99.000","-99.000","-99.000","27.100","","20.100",""
"C0C670","2019-09-23 00:00:00","250.000","109.000","0.800","21.300","0.740","987.800","","0.000","-99.000","-99.000","-99.000","25.200","","19.300",""
